name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
dallas,2023-01-01T00:00:00,16.8,16.8,7.5,54.15,0,0,,0,0,11.2,14.5,188,1009.8,15.8,16,0,0,0,10,Clear,clear-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T01:00:00,16.5,16.5,7.2,54.1,0,0,,0,0,24.1,16.6,188,1009.6,15.8,16,0,0,0,10,Clear,clear-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T02:00:00,14.7,14.7,7.2,61.01,0,0,,0,0,24.1,12.6,172,1009.7,28.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T03:00:00,14.4,14.4,7.2,62.12,0,0,,0,0,24.1,13,172,1009.7,28.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T04:00:00,13.7,13.7,7,64.24,0,0,,0,0,22.3,9.8,169,1010,28.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T05:00:00,12.6,12.6,7.2,69.7,0,0,,0,0,22.3,10.2,149,1009.8,51.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T06:00:00,13.4,13.4,7.2,66.3,0,0,,0,0,20.5,15.2,172,1010.3,51.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T07:00:00,13.3,13.3,7.5,67.89,0,0,,0,0,20.5,12.9,168,1010.8,51.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T08:00:00,13.8,13.8,8,67.67,0,0,,0,0,22.3,14.7,174,1011.2,51.2,16,31,0.1,0,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T09:00:00,14.4,14.4,8.3,66.44,0,0,,0,0,27.7,14.6,177,1011.6,51.2,16,134,0.5,1,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T10:00:00,16.4,16.4,8.5,59.69,0,0,,0,0,29.5,14,178,1012.2,51.2,16,362,1.3,4,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T11:00:00,20.2,20.2,9.2,48.91,0,0,,0,0,31.7,14.5,184,1012.3,51.2,16,625,2.3,6,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T12:00:00,21.9,21.9,9.5,44.96,0,0,,0,0,27.7,17,207,1011.4,51.2,16,637,2.3,6,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T13:00:00,23.2,23.2,9.9,42.85,0,0,,0,0,33.5,16.1,176,1010.2,51.2,16,687,2.5,7,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T14:00:00,24.1,24.1,9.7,40.09,0,0,,0,0,31.7,18.7,179,1009.4,51.2,16,624,2.2,6,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T15:00:00,24.2,24.2,11,43.63,0,0,,0,0,33.5,17.4,162,1009.1,51.2,16,399,1.4,4,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T16:00:00,23.8,23.8,11.9,47.05,0,0,,0,0,33.5,18.6,169,1009.2,51.2,16,338,1.2,3,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T17:00:00,23.4,23.4,12.3,49.76,0,0,,0,0,31.3,16.3,164,1009.3,51.2,16,72,0.3,1,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T18:00:00,21.6,21.6,13.3,59.03,0,0,,0,0,24.1,12.6,157,1009.5,51.2,16,14,0.1,0,10,Partially cloudy,partly-cloudy-night,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T19:00:00,20.9,20.9,13.6,63.12,0,0,,0,0,24.1,13.4,158,1009.9,51.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T20:00:00,19.9,19.9,14.3,69.98,0,0,,0,0,24.1,14.7,168,1010.5,51.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T21:00:00,19.2,19.2,14.9,76.18,0,0,,0,0,24.1,13.6,163,1010.6,51.2,16,0,0,0,5,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T22:00:00,18.5,18.5,15.5,82.56,0,0,,0,0,24.1,18.4,163,1010.4,57.6,16,0,0,0,5,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-01T23:00:00,18.1,18.1,15.8,86.95,0,0,,0,0,22.3,15.7,163,1010.4,51.2,14.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T00:00:00,17.5,17.5,16.1,91.56,0,0,,0,0,22.3,13.5,159,1010.2,72.4,12.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T01:00:00,17.2,17.2,16.3,94.42,0,0,,0,0,22.3,13.9,160,1009.9,98.9,10.7,0,0,0,5,Overcast,cloudy,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T02:00:00,17.6,17.6,16.6,94.33,0,0,,0,0,25.9,11.9,163,1009.6,85.2,9.1,0,0,0,5,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T03:00:00,17.4,17.4,16.7,95.51,0,0,,0,0,27.7,13.1,156,1009.8,100,8.5,0,0,0,10,Overcast,cloudy,"KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T04:00:00,17.6,17.6,16.9,95.41,0,0,,0,0,24.1,12.8,142,1009.6,100,8.5,0,0,0,5,Overcast,cloudy,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T05:00:00,17.9,17.9,17.2,95.88,0,0,,0,0,24.1,12.3,141,1009.5,100,7.3,0,0,0,5,Overcast,cloudy,"KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T06:00:00,18.4,18.4,17.5,94.39,0,0,,0,0,22.3,12.8,132,1009.2,100,8.7,0,0,0,5,Overcast,cloudy,"KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T07:00:00,18.9,18.9,17.8,93.55,0,0,,0,0,25.9,11.9,132,1009.3,100,9.4,0,0,0,5,Overcast,cloudy,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T08:00:00,18.8,18.8,17.8,93.98,0,0,,0,0,29.5,16,131,1009,82.8,5.9,19,0.1,0,5,Partially cloudy,partly-cloudy-day,"F8578,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T09:00:00,19.9,19.9,18.5,91.55,0,0,,0,0,38.9,17.6,147,1008.9,98.9,6,50,0.2,1,8,Overcast,cloudy,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T10:00:00,20.8,20.8,19,89.63,0,0,,0,0,31.7,12.6,177,1010,98.9,8.8,42,0.2,0,30,Overcast,cloudy,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T11:00:00,21.6,21.6,19.1,85.32,0.029,100,rain,0,0,38.9,17.1,158,1009,100,10.4,58,0.2,1,60,"Rain, Overcast",rain,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T12:00:00,22.8,22.8,19.4,81.06,0.042,100,rain,0,0,44.8,26.3,161,1006.9,75.6,12,180,0.6,2,60,"Rain, Partially cloudy",rain,"F8578,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T13:00:00,23.3,23.3,19.3,78.31,0,0,,0,0,50.7,21.9,180,1005.4,100,14.3,169,0.6,2,60,Overcast,cloudy,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T14:00:00,24.3,24.3,19,72.18,0.098,100,rain,0,0,47,25.7,180,1003.5,97.3,16,169,0.6,2,60,"Rain, Overcast",rain,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T15:00:00,24.2,24.2,18.8,71.92,0,0,,0,0,40.6,18.7,183,1002.9,100,16,84,0.3,1,60,Overcast,cloudy,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T16:00:00,25,25,18.7,68.12,0,0,,0,0,33.5,16,202,1002.6,90.8,16,96,0.3,1,75,Overcast,cloudy,"F8578,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T17:00:00,24.9,24.9,17.9,65.19,0,0,,0,0,36,16.6,205,1003,65.1,16,61,0.2,1,75,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T18:00:00,23.9,23.9,17.5,67.41,0,0,,0,0,37.1,12.3,190,1003.4,51.2,16,14,0.1,0,75,Partially cloudy,partly-cloudy-night,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T19:00:00,22.8,22.8,17.9,73.69,0,0,,0,0,13,12.6,174,1003.8,51.2,15.3,0,0,0,60,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T20:00:00,22.5,22.5,17.9,75.5,0,0,,0,0,14.8,12.2,186,1004.3,51.2,16,0,0,0,60,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T21:00:00,21,21,17.3,79.4,0,0,,0,0,13,11.6,174,1005,33.6,14.9,0,0,0,60,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T22:00:00,20.8,20.8,17.3,80.52,0,0,,0,0,13,10.7,206,1005.5,28.8,14.5,0,0,0,60,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-02T23:00:00,19.6,19.6,7.3,44.96,0,0,,0,0,31.7,15.9,299,1006.6,33.6,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T00:00:00,18.1,18.1,5.5,43.47,0,0,,0,0,13,5.6,239,1007,28.8,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T01:00:00,17.2,17.2,4.7,43.42,0,0,,0,0,20.5,8,265,1007.1,60.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T02:00:00,16.7,16.7,3.7,42.04,0,0,,0,0,20.5,11.3,273,1007.4,68.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T03:00:00,16.5,16.5,3,40.37,0,0,,0,0,20.5,14.2,286,1007.7,68.9,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T04:00:00,16,16,1.3,37,0,0,,0,0,16.6,13.1,293,1007.8,80.4,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T05:00:00,15.7,15.7,1.1,37,0,0,,0,0,18.4,9.1,262,1008.2,96.4,16,0,0,0,10,Overcast,cloudy,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T06:00:00,15,15,2,41.35,0,0,,0,0,16.6,7.4,265,1008.8,93.6,16,0,0,0,10,Overcast,cloudy,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T07:00:00,14.3,14.3,1.2,40.79,0,0,,0,0,16.6,6.8,255,1009.2,77.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T08:00:00,13.9,13.9,0.8,40.79,0,0,,0,0,18.4,11.6,247,1010,67.6,16,21,0.1,0,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T09:00:00,14.7,14.7,0.1,36.87,0,0,,0,0,25.9,11.8,247,1010.2,56.1,16,109,0.4,1,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T10:00:00,16.5,16.5,-0.3,31.84,0,0,,0,0,29.5,13.8,267,1011.2,51.2,16,458,1.6,5,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T11:00:00,17.6,17.6,-0.7,28.92,0,0,,0,0,27.7,15.1,258,1011.2,51.2,16,403,1.5,4,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T12:00:00,17.7,17.7,-1.6,27,0,0,,0,0,36.1,17.5,282,1010.7,51.2,16,272,1,3,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T13:00:00,18.9,18.9,-1.7,24.75,0,0,,0,0,35.3,21.2,296,1009.5,51.2,16,624,2.2,6,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T14:00:00,19.5,19.5,-2.2,22.96,0,0,,0,0,35.3,18.9,273,1008.9,51.2,16,504,1.8,5,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T15:00:00,19.8,19.8,-2.8,21.61,0,0,,0,0,34,20.7,271,1008.6,51.2,16,473,1.7,5,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T16:00:00,19.4,19.4,-2.3,22.94,0,0,,0,0,27.7,17.1,302,1008.9,51.2,16,356,1.3,4,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T17:00:00,17.9,17.9,-1.8,26.16,0,0,,0,0,25.9,13.2,311,1009.4,51.2,16,63,0.2,1,10,Partially cloudy,partly-cloudy-day,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
dallas,2023-01-03T18:00:00,16,16,-1.7,29.87,0,0,,0,0,9.4,8.9,329,1009.7,51.2,16,19,0.1,0,10,Partially cloudy,partly-cloudy-night,"F8578,KLNC,KDAL,72259903971,KRBD,72258013960,72214353975"
