name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
houston,2023-01-01T00:00:00,60.6,60.6,60.4,99.37,0,0,,0,0,10.3,10,177,1014,47.1,3.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T01:00:00,60.6,60.6,58.9,93.97,0,0,,0,0,9.2,11.2,167,1013.7,74.6,0.8,0,0,0,10,Partially cloudy,fog,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T02:00:00,59.1,59.1,58.9,99.39,0,0,,0,0,9.2,11.9,168,1013.6,95.4,0,0,0,0,10,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T03:00:00,60.7,60.7,60.6,99.47,0,0,,0,0,9.2,15.2,176,1013.1,98.1,1.8,0,0,0,10,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T04:00:00,64,64,63.3,97.51,0,0,,0,0,20.8,13.3,225,1013,94.7,1.9,0,0,0,10,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T05:00:00,64.1,64.1,64,99.65,0,0,,0,0,10.3,8.2,168,1013.5,100,0.3,0,0,0,10,Overcast,fog,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T06:00:00,64.3,64.3,64.2,99.59,0,0,,0,0,8.1,8,171,1014,100,0,0,0,0,10,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T07:00:00,64.4,64.4,64.3,99.68,0,0,,0,0,8.1,7.2,145,1014.3,100,0,0,0,0,10,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918"
houston,2023-01-01T08:00:00,64.4,64.4,64.3,99.68,0,0,,0,0,8.1,9,149,1014.7,100,0,12,0,0,5,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T09:00:00,65.5,65.5,65.4,99.69,0,0,,0,0,12.8,10.7,169,1015,90.1,0,55,0.2,1,5,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T10:00:00,68.1,68.1,67.9,99.6,0,0,,0,0,18.3,10.8,180,1015.9,100,0.1,96,0.3,1,3,Overcast,fog,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T11:00:00,69.9,69.9,69.1,97.32,0,0,,0,0,16.1,9,165,1015.5,96,0.2,133,0.5,1,30,Overcast,fog,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T12:00:00,71.2,71.2,69.7,95.22,0,0,,0,0,12.8,6.9,167,1014.8,94.6,4.3,188,0.7,2,30,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T13:00:00,74.8,74.8,68.8,81.57,0,0,,0,0,13.9,6.6,200,1014.1,94.7,9.3,531,1.9,5,30,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T14:00:00,77.3,77.3,66.3,68.91,0,0,,0,0,16.1,9.4,215,1013.1,54.9,9.9,297,1.1,3,30,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T15:00:00,79,79,64.5,61.21,0,0,,0,0,17.2,12.3,206,1012.6,89.2,9.9,319,1.1,3,30,Partially cloudy,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T16:00:00,79,79,64.5,61.21,0,0,,0,0,19.7,10.5,190,1012.6,93.2,9.9,70,0.3,1,30,Overcast,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T17:00:00,77.2,77.2,64.5,65.06,0,0,,0,0,16.1,14,190,1012.8,11.2,9.9,33,0.1,0,10,Clear,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2023-01-01T18:00:00,75.2,75.2,64.5,69.38,0,0,,0,0,16.1,11.6,181,1012.6,82.9,9.9,12,0,0,3,Partially cloudy,partly-cloudy-night,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
