Delivery Date_x,Hour Ending,Settlement Point Price,Month,DateTime,ACCOUNT_NUMBER,LOCAL_FROM_DATETIME,QUANTITY,UNIT_OF_MEASURE,Delivery Date_y,Hour
2023-01-01,1.0,10.36,Jan,2023-01-01 01:00:00,account_a,2023-01-01 01:00:00+00:00,1.7595,kWh,2023-01-01,1.0
2023-01-01,1.0,10.36,Jan,2023-01-01 01:00:00,account_b,2023-01-01 01:00:00+00:00,197.892,kWh,2023-01-01,1.0
2023-01-01,2.0,9.84,Jan,2023-01-01 02:00:00,account_a,2023-01-01 02:00:00+00:00,3.67425,kWh,2023-01-01,2.0
2023-01-01,2.0,9.84,Jan,2023-01-01 02:00:00,account_b,2023-01-01 02:00:00+00:00,192.372,kWh,2023-01-01,2.0
2023-01-01,3.0,8.58,Jan,2023-01-01 03:00:00,account_a,2023-01-01 03:00:00+00:00,3.5535,kWh,2023-01-01,3.0
2023-01-01,3.0,8.58,Jan,2023-01-01 03:00:00,account_b,2023-01-01 03:00:00+00:00,191.406,kWh,2023-01-01,3.0
2023-01-01,4.0,8.19,Jan,2023-01-01 04:00:00,account_a,2023-01-01 04:00:00+00:00,1.91475,kWh,2023-01-01,4.0
2023-01-01,4.0,8.19,Jan,2023-01-01 04:00:00,account_b,2023-01-01 04:00:00+00:00,199.962,kWh,2023-01-01,4.0
2023-01-01,5.0,8.34,Jan,2023-01-01 05:00:00,account_a,2023-01-01 05:00:00+00:00,3.5535,kWh,2023-01-01,5.0
2023-01-01,5.0,8.34,Jan,2023-01-01 05:00:00,account_b,2023-01-01 05:00:00+00:00,199.548,kWh,2023-01-01,5.0
2023-01-01,6.0,8.59,Jan,2023-01-01 06:00:00,account_a,2023-01-01 06:00:00+00:00,3.63975,kWh,2023-01-01,6.0
2023-01-01,6.0,8.59,Jan,2023-01-01 06:00:00,account_b,2023-01-01 06:00:00+00:00,223.629,kWh,2023-01-01,6.0
2023-01-01,7.0,13.85,Jan,2023-01-01 07:00:00,account_a,2023-01-01 07:00:00+00:00,5.33025,kWh,2023-01-01,7.0
2023-01-01,7.0,13.85,Jan,2023-01-01 07:00:00,account_b,2023-01-01 07:00:00+00:00,236.394,kWh,2023-01-01,7.0
2023-01-01,8.0,14.45,Jan,2023-01-01 08:00:00,account_a,2023-01-01 08:00:00+00:00,1.77675,kWh,2023-01-01,8.0
2023-01-01,8.0,14.45,Jan,2023-01-01 08:00:00,account_b,2023-01-01 08:00:00+00:00,228.597,kWh,2023-01-01,8.0
2023-01-01,9.0,15.08,Jan,2023-01-01 09:00:00,account_a,2023-01-01 09:00:00+00:00,3.6225,kWh,2023-01-01,9.0
2023-01-01,9.0,15.08,Jan,2023-01-01 09:00:00,account_b,2023-01-01 09:00:00+00:00,186.714,kWh,2023-01-01,9.0
2023-01-01,10.0,15.03,Jan,2023-01-01 10:00:00,account_a,2023-01-01 10:00:00+00:00,1.77675,kWh,2023-01-01,10.0
2023-01-01,10.0,15.03,Jan,2023-01-01 10:00:00,account_b,2023-01-01 10:00:00+00:00,145.59,kWh,2023-01-01,10.0
2023-01-01,11.0,17.28,Jan,2023-01-01 11:00:00,account_a,2023-01-01 11:00:00+00:00,1.8975,kWh,2023-01-01,11.0
2023-01-01,11.0,17.28,Jan,2023-01-01 11:00:00,account_b,2023-01-01 11:00:00+00:00,137.172,kWh,2023-01-01,11.0
2023-01-01,12.0,17.88,Jan,2023-01-01 12:00:00,account_a,2023-01-01 12:00:00+00:00,1.91475,kWh,2023-01-01,12.0
2023-01-01,12.0,17.88,Jan,2023-01-01 12:00:00,account_b,2023-01-01 12:00:00+00:00,130.617,kWh,2023-01-01,12.0
2023-01-01,13.0,17.57,Jan,2023-01-01 13:00:00,account_a,2023-01-01 13:00:00+00:00,2.5185,kWh,2023-01-01,13.0
2023-01-01,13.0,17.57,Jan,2023-01-01 13:00:00,account_b,2023-01-01 13:00:00+00:00,136.137,kWh,2023-01-01,13.0
2023-01-01,14.0,18.26,Jan,2023-01-01 14:00:00,account_a,2023-01-01 14:00:00+00:00,2.691,kWh,2023-01-01,14.0
2023-01-01,14.0,18.26,Jan,2023-01-01 14:00:00,account_b,2023-01-01 14:00:00+00:00,117.99,kWh,2023-01-01,14.0
2023-01-01,15.0,19.52,Jan,2023-01-01 15:00:00,account_a,2023-01-01 15:00:00+00:00,2.74275,kWh,2023-01-01,15.0
2023-01-01,15.0,19.52,Jan,2023-01-01 15:00:00,account_b,2023-01-01 15:00:00+00:00,116.886,kWh,2023-01-01,15.0
2023-01-01,16.0,17.24,Jan,2023-01-01 16:00:00,account_a,2023-01-01 16:00:00+00:00,2.691,kWh,2023-01-01,16.0
2023-01-01,16.0,17.24,Jan,2023-01-01 16:00:00,account_b,2023-01-01 16:00:00+00:00,111.09,kWh,2023-01-01,16.0
2023-01-01,17.0,25.1,Jan,2023-01-01 17:00:00,account_a,2023-01-01 17:00:00+00:00,2.139,kWh,2023-01-01,17.0
2023-01-01,17.0,25.1,Jan,2023-01-01 17:00:00,account_b,2023-01-01 17:00:00+00:00,121.44,kWh,2023-01-01,17.0
2023-01-01,18.0,33.19,Jan,2023-01-01 18:00:00,account_a,2023-01-01 18:00:00+00:00,3.81225,kWh,2023-01-01,18.0
2023-01-01,18.0,33.19,Jan,2023-01-01 18:00:00,account_b,2023-01-01 18:00:00+00:00,139.587,kWh,2023-01-01,18.0
