,index,ACCOUNT_NUMBER,LOCAL_FROM_DATETIME,LOCAL_TO_DATETIME,QUANTITY,Delivery Date,Settlement Point Price,Month,Hour,Holiday,Day,Weekend,Price_KWH,DATE,purchase_amt,discharge_amt,charge_amt,charge_stor,is_charging
0,1,account_b,2023-01-01 00:00:00,2023-01-01T00:59:59Z,186.3,01/01/2023,10.36,Jan,0,False,1,True,0.01036,2023-01-01,186.3,0.0,0.0,0.0,1.0
1,3,account_b,2023-01-01 01:00:00,2023-01-01T01:59:59Z,197.892,01/01/2023,9.84,Jan,1,False,1,True,0.00984,2023-01-01,197.892,0.0,0.0,0.0,0.0
2,5,account_b,2023-01-01 02:00:00,2023-01-01T02:59:59Z,192.372,01/01/2023,8.58,Jan,2,False,1,True,0.00858,2023-01-01,195.872,0.0,3.5,0.0,1.0
3,7,account_b,2023-01-01 03:00:00,2023-01-01T03:59:59Z,191.406,01/01/2023,8.19,Jan,3,False,1,True,0.00819,2023-01-01,196.406,0.0,5.0,3.5,1.0
4,9,account_b,2023-01-01 04:00:00,2023-01-01T04:59:59Z,199.962,01/01/2023,8.34,Jan,4,False,1,True,0.00834,2023-01-01,204.962,0.0,5.0,8.5,1.0
5,11,account_b,2023-01-01 05:00:00,2023-01-01T05:59:59Z,199.548,01/01/2023,8.59,Jan,5,False,1,True,0.00859,2023-01-01,199.548,0.0,0.0,13.5,0.0
6,13,account_b,2023-01-01 06:00:00,2023-01-01T06:59:59Z,223.629,01/01/2023,13.85,Jan,6,False,1,True,0.01385,2023-01-01,223.629,0.0,0.0,13.5,0.0
7,15,account_b,2023-01-01 07:00:00,2023-01-01T07:59:59Z,236.394,01/01/2023,14.45,Jan,7,False,1,True,0.01445,2023-01-01,236.394,0.0,0.0,13.5,0.0
8,17,account_b,2023-01-01 08:00:00,2023-01-01T08:59:59Z,228.597,01/01/2023,15.08,Jan,8,False,1,True,0.01508,2023-01-01,223.597,5.0,0.0,13.5,0.0
9,19,account_b,2023-01-01 09:00:00,2023-01-01T09:59:59Z,186.714,01/01/2023,15.03,Jan,9,False,1,True,0.01503,2023-01-01,191.714,0.0,5.0,8.5,1.0
