,ACCOUNT_NUMBER,LOCAL_FROM_DATETIME,LOCAL_TO_DATETIME,QUANTITY,Delivery Date,Settlement Point Price,Month,Hour,Holiday,Day,Weekend,Price_KWH
0,account_a,2023-01-01 00:00:00,2023-01-01T00:59:59Z,1.932,01/01/2023,10.36,Jan,0,False,1,True,0.01036
1,account_b,2023-01-01 00:00:00,2023-01-01T00:59:59Z,186.3,01/01/2023,10.36,Jan,0,False,1,True,0.01036
2,account_a,2023-01-01 01:00:00,2023-01-01T01:59:59Z,1.7595,01/01/2023,9.84,Jan,1,False,1,True,0.00984
3,account_b,2023-01-01 01:00:00,2023-01-01T01:59:59Z,197.892,01/01/2023,9.84,Jan,1,False,1,True,0.00984
4,account_a,2023-01-01 02:00:00,2023-01-01T02:59:59Z,3.67425,01/01/2023,8.58,Jan,2,False,1,True,0.00858
5,account_b,2023-01-01 02:00:00,2023-01-01T02:59:59Z,192.372,01/01/2023,8.58,Jan,2,False,1,True,0.00858
6,account_a,2023-01-01 03:00:00,2023-01-01T03:59:59Z,3.5535,01/01/2023,8.19,Jan,3,False,1,True,0.00819
7,account_b,2023-01-01 03:00:00,2023-01-01T03:59:59Z,191.406,01/01/2023,8.19,Jan,3,False,1,True,0.00819
8,account_a,2023-01-01 04:00:00,2023-01-01T04:59:59Z,1.91475,01/01/2023,8.34,Jan,4,False,1,True,0.00834
9,account_b,2023-01-01 04:00:00,2023-01-01T04:59:59Z,199.962,01/01/2023,8.34,Jan,4,False,1,True,0.00834
10,account_a,2023-01-01 05:00:00,2023-01-01T05:59:59Z,3.5535,01/01/2023,8.59,Jan,5,False,1,True,0.00859
11,account_b,2023-01-01 05:00:00,2023-01-01T05:59:59Z,199.548,01/01/2023,8.59,Jan,5,False,1,True,0.00859
12,account_a,2023-01-01 06:00:00,2023-01-01T06:59:59Z,3.63975,01/01/2023,13.85,Jan,6,False,1,True,0.01385
13,account_b,2023-01-01 06:00:00,2023-01-01T06:59:59Z,223.629,01/01/2023,13.85,Jan,6,False,1,True,0.01385
14,account_a,2023-01-01 07:00:00,2023-01-01T07:59:59Z,5.33025,01/01/2023,14.45,Jan,7,False,1,True,0.01445
15,account_b,2023-01-01 07:00:00,2023-01-01T07:59:59Z,236.394,01/01/2023,14.45,Jan,7,False,1,True,0.01445
16,account_a,2023-01-01 08:00:00,2023-01-01T08:59:59Z,1.77675,01/01/2023,15.08,Jan,8,False,1,True,0.01508
17,account_b,2023-01-01 08:00:00,2023-01-01T08:59:59Z,228.597,01/01/2023,15.08,Jan,8,False,1,True,0.01508
18,account_a,2023-01-01 09:00:00,2023-01-01T09:59:59Z,3.6225,01/01/2023,15.03,Jan,9,False,1,True,0.01503
19,account_b,2023-01-01 09:00:00,2023-01-01T09:59:59Z,186.714,01/01/2023,15.03,Jan,9,False,1,True,0.01503
20,account_a,2023-01-01 10:00:00,2023-01-01T10:59:59Z,1.77675,01/01/2023,17.28,Jan,10,False,1,True,0.01728
21,account_b,2023-01-01 10:00:00,2023-01-01T10:59:59Z,145.59,01/01/2023,17.28,Jan,10,False,1,True,0.01728
22,account_a,2023-01-01 11:00:00,2023-01-01T11:59:59Z,1.8975,01/01/2023,17.88,Jan,11,False,1,True,0.01788
23,account_b,2023-01-01 11:00:00,2023-01-01T11:59:59Z,137.172,01/01/2023,17.88,Jan,11,False,1,True,0.01788
24,account_a,2023-01-01 12:00:00,2023-01-01T12:59:59Z,1.91475,01/01/2023,17.57,Jan,12,False,1,True,0.01757
25,account_b,2023-01-01 12:00:00,2023-01-01T12:59:59Z,130.617,01/01/2023,17.57,Jan,12,False,1,True,0.01757
26,account_a,2023-01-01 13:00:00,2023-01-01T13:59:59Z,2.5185,01/01/2023,18.26,Jan,13,False,1,True,0.018260000000000002
27,account_b,2023-01-01 13:00:00,2023-01-01T13:59:59Z,136.137,01/01/2023,18.26,Jan,13,False,1,True,0.018260000000000002
28,account_a,2023-01-01 14:00:00,2023-01-01T14:59:59Z,2.691,01/01/2023,19.52,Jan,14,False,1,True,0.01952
29,account_b,2023-01-01 14:00:00,2023-01-01T14:59:59Z,117.99,01/01/2023,19.52,Jan,14,False,1,True,0.01952
30,account_a,2023-01-01 15:00:00,2023-01-01T15:59:59Z,2.74275,01/01/2023,17.24,Jan,15,False,1,True,0.01724
31,account_b,2023-01-01 15:00:00,2023-01-01T15:59:59Z,116.886,01/01/2023,17.24,Jan,15,False,1,True,0.01724
32,account_a,2023-01-01 16:00:00,2023-01-01T16:59:59Z,2.691,01/01/2023,25.1,Jan,16,False,1,True,0.0251
33,account_b,2023-01-01 16:00:00,2023-01-01T16:59:59Z,111.09,01/01/2023,25.1,Jan,16,False,1,True,0.0251
34,account_a,2023-01-01 17:00:00,2023-01-01T17:59:59Z,2.139,01/01/2023,33.19,Jan,17,False,1,True,0.03319
35,account_b,2023-01-01 17:00:00,2023-01-01T17:59:59Z,121.44,01/01/2023,33.19,Jan,17,False,1,True,0.03319
36,account_a,2023-01-01 18:00:00,2023-01-01T18:59:59Z,3.81225,01/01/2023,23.89,Jan,18,False,1,True,0.02389
37,account_b,2023-01-01 18:00:00,2023-01-01T18:59:59Z,139.587,01/01/2023,23.89,Jan,18,False,1,True,0.02389
38,account_a,2023-01-01 19:00:00,2023-01-01T19:59:59Z,4.32975,01/01/2023,18.34,Jan,19,False,1,True,0.01834
39,account_b,2023-01-01 19:00:00,2023-01-01T19:59:59Z,151.938,01/01/2023,18.34,Jan,19,False,1,True,0.01834
40,account_a,2023-01-01 20:00:00,2023-01-01T20:59:59Z,3.588,01/01/2023,16.1,Jan,20,False,1,True,0.0161
41,account_b,2023-01-01 20:00:00,2023-01-01T20:59:59Z,144.486,01/01/2023,16.1,Jan,20,False,1,True,0.0161
42,account_a,2023-01-01 21:00:00,2023-01-01T21:59:59Z,3.01875,01/01/2023,16.74,Jan,21,False,1,True,0.016739999999999998
43,account_b,2023-01-01 21:00:00,2023-01-01T21:59:59Z,151.386,01/01/2023,16.74,Jan,21,False,1,True,0.016739999999999998
44,account_a,2023-01-01 22:00:00,2023-01-01T22:59:59Z,3.05325,01/01/2023,13.76,Jan,22,False,1,True,0.01376
45,account_b,2023-01-01 22:00:00,2023-01-01T22:59:59Z,154.008,01/01/2023,13.76,Jan,22,False,1,True,0.01376
46,account_a,2023-01-01 23:00:00,2023-01-01T23:59:59Z,2.91525,01/01/2023,9.7,Jan,23,False,1,True,0.009699999999999999
47,account_b,2023-01-01 23:00:00,2023-01-01T23:59:59Z,161.736,01/01/2023,9.7,Jan,23,False,1,True,0.009699999999999999
48,account_a,2023-01-02 00:00:00,2023-01-02T00:59:59Z,2.98425,01/02/2023,9.57,Jan,0,False,2,False,0.00957
49,account_b,2023-01-02 00:00:00,2023-01-02T00:59:59Z,86.457,01/02/2023,9.57,Jan,0,False,2,False,0.00957
50,account_a,2023-01-02 01:00:00,2023-01-02T01:59:59Z,2.60475,01/02/2023,5.02,Jan,1,False,2,False,0.005019999999999999
51,account_b,2023-01-02 01:00:00,2023-01-02T01:59:59Z,84.801,01/02/2023,5.02,Jan,1,False,2,False,0.005019999999999999
52,account_a,2023-01-02 02:00:00,2023-01-02T02:59:59Z,3.0015,01/02/2023,3.85,Jan,2,False,2,False,0.00385
53,account_b,2023-01-02 02:00:00,2023-01-02T02:59:59Z,95.013,01/02/2023,3.85,Jan,2,False,2,False,0.00385
54,account_a,2023-01-02 03:00:00,2023-01-02T03:59:59Z,2.70825,01/02/2023,3.72,Jan,3,False,2,False,0.00372
55,account_b,2023-01-02 03:00:00,2023-01-02T03:59:59Z,99.015,01/02/2023,3.72,Jan,3,False,2,False,0.00372
56,account_a,2023-01-02 04:00:00,2023-01-02T04:59:59Z,2.829,01/02/2023,7.37,Jan,4,False,2,False,0.00737
57,account_b,2023-01-02 04:00:00,2023-01-02T04:59:59Z,98.256,01/02/2023,7.37,Jan,4,False,2,False,0.00737
58,account_a,2023-01-02 05:00:00,2023-01-02T05:59:59Z,2.829,01/02/2023,8.84,Jan,5,False,2,False,0.00884
59,account_b,2023-01-02 05:00:00,2023-01-02T05:59:59Z,96.324,01/02/2023,8.84,Jan,5,False,2,False,0.00884
60,account_a,2023-01-02 06:00:00,2023-01-02T06:59:59Z,2.7255,01/02/2023,12.93,Jan,6,False,2,False,0.01293
61,account_b,2023-01-02 06:00:00,2023-01-02T06:59:59Z,100.74,01/02/2023,12.93,Jan,6,False,2,False,0.01293
62,account_a,2023-01-02 07:00:00,2023-01-02T07:59:59Z,2.691,01/02/2023,15.92,Jan,7,False,2,False,0.01592
63,account_b,2023-01-02 07:00:00,2023-01-02T07:59:59Z,98.601,01/02/2023,15.92,Jan,7,False,2,False,0.01592
64,account_a,2023-01-02 08:00:00,2023-01-02T08:59:59Z,2.7945,01/02/2023,17.75,Jan,8,False,2,False,0.01775
65,account_b,2023-01-02 08:00:00,2023-01-02T08:59:59Z,99.153,01/02/2023,17.75,Jan,8,False,2,False,0.01775
66,account_a,2023-01-02 09:00:00,2023-01-02T09:59:59Z,2.91525,01/02/2023,18.73,Jan,9,False,2,False,0.01873
